"","H.sst.AEN","E.sst.AEN"
"1915-10-01",0.203939811833321,-0.0229449969116481
"1915-11-01",0.331663966161181,0.199242547601774
"1915-12-01",0.462090723637152,0.29594245574539
"1916-01-01",0.375876162155671,0.223844634941066
"1916-02-01",0.287921858077547,0.107640550567261
"1916-03-01",0.0851641243312096,0.169756584614498
"1916-04-01",0.333729473413634,0.216778574491553
"1916-05-01",0.0873140830781712,-0.271291961194712
"1916-06-01",-0.380165270032869,-0.493464689058676
"1916-07-01",0.0550783320738879,-0.135207861546523
"1916-08-01",-0.246101365882098,-0.124605807129286
"1916-09-01",0.0294931148640124,0.015528435553978
"1916-10-01",0.545958861167975,0.179150861571114
"1916-11-01",-0.214163579489335,-0.239211729442524
"1916-12-01",-0.247078519153778,-0.288520384076209
"1917-01-01",-0.478055364140908,-0.670257348823334
"1917-02-01",-1.10605462359108,-1.20796134305015
"1917-03-01",-1.33078276332513,-0.740735123962392
"1917-04-01",0.546474069328664,0.199386062520478
"1917-05-01",0.423345989604684,0.527338282599821
"1917-06-01",1.21297762340313,1.18304374045098
"1917-07-01",1.72346303020788,1.48926012296781
"1917-08-01",0.683502667223527,0.427891753632037
"1917-09-01",-0.627342863986864,-0.437563749216097
"1917-10-01",0.070878045866562,-0.378184915901487
"1917-11-01",-0.263876746330035,-0.161336915851313
"1917-12-01",-0.353265516363264,-0.485955924948315
"1918-01-01",-0.856226863925296,-0.959705510688156
"1918-02-01",-0.532988001651236,-0.597742876354505
"1918-03-01",-0.663765814442779,-0.504303124393351
"1918-04-01",-0.54495088745409,-0.486685930007299
"1918-05-01",-1.51732269088249,-1.00013988707307
"1918-06-01",-2.14960713014609,-2.22538799946227
"1918-07-01",-0.9075722491479,-1.50578063299427
"1918-08-01",-0.555766402754308,-1.16085262897121
"1918-09-01",-0.739222872647391,-1.23180220645353
"1918-10-01",-0.353404200990049,-0.40248397127696
"1918-11-01",0.952511703703472,-0.127503050753814
"1918-12-01",0.284903434248333,0.130782754412866
"1919-01-01",0.548435295407884,0.137926192751597
"1919-02-01",-1.3246367459346,-0.317568663641405
"1919-03-01",-0.371488507126238,-0.580831774150031
"1919-04-01",-1.20221147993044,-0.989002077106558
"1919-05-01",-1.54647812304098,-1.51680675152407
"1919-06-01",-0.0224423843345453,-1.20240944043597
"1919-07-01",-0.407973946017704,-1.00335520113355
"1919-08-01",-2.22447319172389,-1.3284362888933
"1919-09-01",-0.987028596058463,-1.02878967548006
"1919-10-01",-0.854230348124542,-0.989521391370768
"1919-11-01",-0.686467546840304,-1.00224092333467
"1919-12-01",-0.820376197029302,-0.811228962166715
"1920-01-01",0.421832153904761,-0.169075267748381
"1920-02-01",0.892809021159504,0.516289700426153
"1920-03-01",0.00482140860453619,0.47005240667087
"1920-04-01",-0.0107577346200311,-0.254691667107559
"1920-05-01",-0.0783356780742459,-0.547744566381984
"1920-06-01",-0.630200378476731,-0.785427602588683
"1920-07-01",0.0929165156182972,-0.710380808121384
"1920-08-01",-1.20757310320425,-1.01043716737733
"1920-09-01",-0.414455863371073,-0.631506798171391
"1920-10-01",-0.00717683571626328,-0.36707059886615
"1920-11-01",-0.524518268476979,-0.148971746181318
"1920-12-01",0.260172028130689,0.130807748076984
"1921-01-01",0.138475115599129,0.140737205085308
"1921-02-01",0.0046051203045299,-0.0347956611917202
"1921-03-01",0.102649853550752,0.1639677330176
"1921-04-01",-0.155618899411561,0.12284033568233
"1921-05-01",-0.148047678562839,0.79312593214024
"1921-06-01",0.8778656422197,0.751815762765821
"1921-07-01",0.825576093643238,0.454036247269088
"1921-08-01",0.566035179358921,0.256015406527658
"1921-09-01",0.524594620873343,0.448539611307721
"1921-10-01",0.662685684908006,0.263080960124817
"1921-11-01",0.134611968517394,-0.0350331278909876
"1921-12-01",-0.34631279919058,-0.52411769565569
"1922-01-01",-0.225291792233541,-0.225464094892218
"1922-02-01",-0.123928410669903,-0.308230436929298
"1922-03-01",0.146484179232951,-0.0485234718029591
"1922-04-01",-0.820332182762961,-0.680607463299756
"1922-05-01",-0.750241639044161,-0.861369482794865
"1922-06-01",-0.691456018536601,-1.23128619774735
"1922-07-01",-0.980393744366125,-1.30309045686751
"1922-08-01",-0.49799206447039,-0.72422849673463
"1922-09-01",-0.454374513883453,-0.778037573972693
"1922-10-01",-0.299292285409333,-0.664773472594412
"1922-11-01",-0.497661283971142,-0.895970077724482
"1922-12-01",-0.714986646789027,-0.73934332829578
"1923-01-01",-0.100190071603897,-0.42687683287822
"1923-02-01",-0.54854137211951,-0.674560393682196
"1923-03-01",-0.364693192594183,-0.611648400387264
"1923-04-01",-0.497325829660095,-0.392219681467184
"1923-05-01",-0.0244000397484921,-0.517591167584966
"1923-06-01",-0.260326339459542,-0.625202316692552
"1923-07-01",-0.714033707282783,-1.3960324884773
"1923-08-01",-0.980375122797851,-1.1916708973058
"1923-09-01",-0.580578448051409,-0.71670385333499
"1923-10-01",-0.154710394502559,-0.399643893517126
"1923-11-01",0.261823663165603,-0.202830650867127
"1923-12-01",0.88125145657243,0.443095580953203
"1924-01-01",0.374934771620546,0.535804775603411
"1924-02-01",0.710073268845196,0.599765873270281
"1924-03-01",-0.419528423170823,0.439979366120978
"1924-04-01",0.554897830437485,0.491039224957733
"1924-05-01",0.443317591585009,-0.0196272745020817
"1924-06-01",-0.308119949982736,-0.560411181610276
"1924-07-01",0.314103369245319,0.102829436415302
"1924-08-01",0.0619799131729794,-0.105630009463826
"1924-09-01",-0.117606984337341,-0.186244186083826
"1924-10-01",-0.215684354387852,-0.26696683472755
"1924-11-01",-0.485734416730435,-0.483196644457413
"1924-12-01",-0.494753104123131,-0.605770696071885
"1925-01-01",-0.282487208936319,-0.427379521764421
"1925-02-01",-0.290879900946937,-0.638920470588835
"1925-03-01",-0.0402774896226956,-0.489699890010568
"1925-04-01",-0.507354415649163,-0.222469773569833
"1925-05-01",0.355464841381187,0.275683075484207
"1925-06-01",0.363045309318547,0.166499195556901
"1925-07-01",0.56374806884428,0.325730699891208
"1925-08-01",0.556913337593697,0.201233171852033
"1925-09-01",-0.389555227941489,-0.47215811292046
"1925-10-01",-0.419515271708588,-0.626492870127058
"1925-11-01",-0.126305870464099,-0.543257116688734
"1925-12-01",0.036648608829081,-0.0125108054236982
"1926-01-01",0.242004297872522,0.0233840632222877
"1926-02-01",0.281526103640018,0.265217199360389
"1926-03-01",0.407988805924196,0.369232101560641
